"Countries, territories and areas",Year, Both sexes, Male, Female, Both sexes.1, Male.1, Female.1, Both sexes.2, Male.2, Female.2,Code
Greece,2005,49.1 [35.8-62.3],57.7 [41.9-73.4],40.5 [29.7-51.2],49.1 [35.8-62.3],57.7 [41.9-73.4],40.5 [29.7-51.2],44.8 [32.1-57.5],53.2 [38.2-68.2],36.4 [26.1-46.8],300
Guatemala,2005,13.4 [9.8-17.0],24.1 [17.8-30.4],2.8 [1.9-3.6],13.4 [9.8-17.0],24.1 [17.8-30.4],2.8 [1.9-3.6],11.6 [8.2-15.0],21.1 [14.9-27.2],2.2 [1.5-2.9],320
Guinea-Bissau,2005,16.8 [8.6-24.9],31.7 [16.4-46.9],1.8 [0.8-2.9],14.5 [7.9-21.1],28.1 [15.4-40.9],0.9 [0.4-1.4],11.9 [6.5-17.4],23.3 [12.7-33.9],0.6 [0.3-0.9],624
Guyana,2005,24.6 [17.7-31.4],44.7 [32.6-56.7],4.5 [2.9-6.1],11.2 [7.4-15.0],17.9 [11.9-23.9],4.5 [2.9-6.1],21.1 [14.9-27.3],38.2 [27.0-49.5],3.9 [2.7-5.0],328
Haiti,2005,10.4 [7.7-13.1],16.2 [12.1-20.3],4.7 [3.4-6.0],10.4 [7.7-13.1],16.2 [12.1-20.3],4.7 [3.4-6.0],9.1 [6.5-11.6],14.3 [10.3-18.3],3.9 [2.8-4.9],332
Honduras,2005,15.8 [10.3-21.3],28.8 [19.1-38.4],2.8 [1.5-4.1],15.8 [10.3-21.3],28.8 [19.1-38.4],2.8 [1.5-4.1],14.7 [8.9-20.5],26.8 [16.4-37.2],2.6 [1.3-3.8],340
Hungary,2005,36.1 [29.9-42.4],41.5 [34.6-48.3],30.8 [25.1-36.4],36.1 [29.9-42.4],41.5 [34.6-48.3],30.8 [25.1-36.4],33.6 [26.3-40.9],38.5 [30.1-46.9],28.6 [22.4-34.8],348
Iceland,2005,24.2 [18.2-30.2],25.3 [19.5-31.1],23.2 [17.0-29.4],24.2 [18.2-30.2],25.3 [19.5-31.1],23.2 [17.0-29.4],18.6 [11.5-25.8],19.1 [11.3-26.8],18.2 [11.6-24.7],352
India,2005,46.6 [38.1-55.2],62.5 [51.2-73.8],30.8 [25.0-36.6],21.3 [16.4-26.1],36.3 [28.2-44.4],6.2 [4.7-7.8],13.4 [10.5-16.3],24.4 [19.2-29.7],2.4 [1.8-3.0],356
Indonesia,2005,35.5 [27.1-43.8],64.8 [49.1-80.5],6.2 [5.1-7.2],33.2 [26.9-39.4],61.6 [50.1-73.1],4.7 [3.7-5.7],30.1 [24.3-36.0],55.8 [44.9-66.6],4.5 [3.7-5.3],360
Iran (Islamic Republic of),2005,19.5 [15.5-23.4],32.5 [26.0-38.9],6.5 [5.0-8.0],15.2 [12.1-18.3],27.0 [21.7-32.2],3.5 [2.5-4.4],12.4 [9.0-15.8],23.1 [17.1-29.1],1.8 [1.0-2.5],
Iraq,2005,20.9 [15.3-26.5],36.7 [27.1-46.3],5.1 [3.4-6.8],20.9 [15.3-26.5],36.7 [27.1-46.3],5.1 [3.4-6.8],15.4 [8.8-22.0],28.2 [16.2-40.3],2.5 [1.4-3.7],368
Ireland,2005,30.9 [24.6-37.2],31.4 [25.1-37.6],30.4 [24.1-36.7],30.9 [24.6-37.2],31.4 [25.1-37.6],30.4 [24.1-36.7],28.5 [22.6-34.3],28.9 [23.1-34.6],28.1 [22.2-34.0],372
Israel,2005,28.2 [23.2-33.1],35.9 [29.4-42.4],20.4 [17.0-23.8],28.2 [23.2-33.1],35.9 [29.4-42.4],20.4 [17.0-23.8],25.5 [21.0-29.9],32.0 [26.5-37.5],19.0 [15.5-22.4],376
Italy,2005,25.2 [21.2-29.2],31.2 [26.2-36.2],19.3 [16.3-22.2],25.2 [21.2-29.2],31.2 [26.2-36.2],19.3 [16.3-22.2],24.6 [20.3-28.9],30.3 [24.9-35.7],18.8 [15.6-22.0],380
Jamaica,2005,14.9 [9.7-20.1],22.7 [15.0-30.5],7.1 [4.5-9.7],14.9 [9.7-20.1],22.7 [15.0-30.5],7.1 [4.5-9.7],13.2 [9.0-17.3],20.4 [14.1-26.8],5.9 [3.9-7.9],388
Japan,2005,29.4 [25.0-33.8],45.6 [38.9-52.3],13.3 [11.2-15.4],29.4 [25.0-33.8],45.6 [38.9-52.3],13.3 [11.2-15.4],28.4 [23.4-33.3],44.1 [36.3-51.8],12.7 [10.5-14.8],392
Jordan,2005,32.3 [24.4-40.1],53.7 [41.1-66.3],10.8 [7.7-13.9],32.3 [24.4-40.1],53.7 [41.1-66.3],10.8 [7.7-13.9],24.9 [18.4-31.4],42.4 [31.0-53.9],7.4 [5.8-9.0],400
Kazakhstan,2005,31.6 [25.7-37.4],52.6 [43.2-62.0],10.6 [8.3-12.9],30.1 [24.8-35.4],51.4 [42.4-60.5],8.8 [7.3-10.3],28.0 [23.1-32.8],47.7 [39.4-55.9],8.3 [6.9-9.8],398
Kenya,2005,16.9 [13.4-20.4],28.7 [23.1-34.3],5.0 [3.6-6.4],14.2 [11.1-17.3],26.5 [20.9-32.1],2.0 [1.4-2.6],12.1 [9.2-15.1],23.4 [17.9-29.0],0.8 [0.6-1.1],404
Kiribati,2005,60.5 [44.4-76.7],75.2 [58.0-92.3],45.9 [30.8-61.0],60.5 [44.4-76.7],75.2 [58.0-92.3],45.9 [30.8-61.0],50.7 [34.4-67.0],64.2 [44.9-83.5],37.1 [23.8-50.5],296
Kuwait,2005,20.5 [15.9-17.2],36.9 [29.0-29.0],4.1 [2.9-5.4],20.5 [15.9-17.2],36.9 [29.0-29.0],4.1 [2.9-5.4],15.0 [8.6-21.5],27.8 [16.2-39.5],2.2 [1.0-3.5],414
Kyrgyzstan,2005,29.6 [23.5-35.6],54.6 [42.5-66.7],4.5 [4.5-4.5],27.2 [21.6-32.7],49.8 [40.1-59.6],4.5 [3.2-5.9],23.9 [19.2-28.7],44.1 [35.7-52.4],3.8 [2.7-4.9],417
Lao People's Democratic Republic,2005,44.2 [34.8-53.6],63.8 [51.6-75.9],24.6 [17.9-31.3],39.0 [31.5-46.6],63.8 [51.6-75.9],14.3 [11.4-17.3],33.5 [24.9-42.1],56.0 [42.0-69.9],11.0 [7.7-14.2],418
Latvia,2005,42.4 [35.2-49.6],58.8 [49.3-68.2],26.0 [21.1-31.0],39.6 [32.9-46.3],54.9 [45.6-64.3],24.2 [20.2-28.3],35.6 [27.3-43.9],49.4 [37.3-61.4],21.8 [17.3-26.3],428
Lebanon,2005,35.6 [27.7-43.6],41.5 [32.2-50.8],29.8 [23.2-36.4],35.6 [27.7-43.6],41.5 [32.2-50.8],29.8 [23.2-36.4],29.1 [20.8-37.4],36.0 [25.7-46.4],22.1 [15.8-28.4],422
Lesotho,2005,29.4 [21.4-37.5],46.2 [35.3-57.1],12.7 [7.5-17.8],21.5 [15.8-27.3],42.4 [31.2-53.7],0.6 [0.4-0.9],16.5 [12.2-20.8],32.7 [24.2-41.2],0.3 [0.2-0.4],426
Liberia,2005,14.6 [9.3-19.9],24.4 [15.6-33.2],4.8 [3.0-6.7],12.2 [7.7-16.6],20.9 [13.6-28.2],3.4 [1.8-5.0],9.3 [6.2-12.4],17.7 [12.0-23.5],0.9 [0.5-1.3],430
Lithuania,2005,39.9 [31.9-47.8],54.9 [44.1-65.7],24.8 [19.8-29.9],32.9 [27.0-38.8],45.7 [37.5-53.9],20.1 [16.5-23.8],30.1 [23.8-36.4],42.5 [33.7-51.2],17.8 [14.0-21.6],440
Luxembourg,2005,28.2 [22.9-33.4],32.4 [26.2-38.6],23.9 [19.5-28.3],28.2 [22.9-33.4],32.4 [26.2-38.6],23.9 [19.5-28.3],25.0 [19.5-30.4],29.4 [23.1-35.7],20.5 [15.8-25.1],442
Madagascar,2005,43.9 [29.1-58.8],53.6 [36.5-70.7],34.2 [21.6-46.8],19.5 [14.2-24.8],36.6 [27.0-46.2],2.4 [1.5-3.3],16.6 [12.5-20.7],31.4 [23.8-38.9],1.9 [1.2-2.6],450
Malawi,2005,19.4 [14.9-23.9],29.6 [23.0-36.2],9.2 [6.8-11.6],16.9 [13.6-20.2],28.8 [23.6-33.9],5.1 [3.5-6.6],13.3 [10.6-16.0],25.1 [20.4-29.8],1.5 [0.9-2.2],454
Malaysia,2005,28.2 [22.2-34.2],52.9 [41.9-64.0],3.4 [2.5-4.3],26.5 [21.4-31.6],50.9 [41.1-60.6],2.1 [1.6-2.7],23.0 [17.3-28.7],44.2 [33.5-55.0],1.8 [1.2-2.4],458
Maldives,2005,37.6 [26.7-48.5],55.1 [41.3-68.9],20.1 [12.1-28.2],33.0 [24.2-41.7],55.1 [41.3-68.9],10.8 [7.1-14.5],25.4 [19.9-31.0],46.9 [37.4-56.5],4.0 [2.4-5.6],462
Mali,2005,14.0 [10.7-17.4],25.0 [19.1-30.8],3.1 [2.2-4.1],10.9 [8.3-13.5],20.2 [15.5-25.0],1.6 [1.1-2.1],9.5 [7.6-11.4],18.4 [14.8-22.0],0.5 [0.3-0.7],466
Malta,2005,30.7 [25.1-36.4],37.3 [30.6-44.0],24.2 [19.6-28.8],30.7 [25.1-36.4],37.3 [30.6-44.0],24.2 [19.6-28.8],27.7 [21.4-33.9],34.5 [27.2-41.8],20.9 [15.7-26.0],470
Marshall Islands,2005,27.8 [21.5-34.2],46.5 [36.2-56.8],9.2 [6.8-11.5],22.4 [16.9-27.9],39.3 [29.8-48.9],5.5 [4.1-7.0],18.6 [14.2-23.1],32.8 [25.2-40.4],4.5 [3.2-5.8],584
Mauritania,2005,18.1 [13.0-23.1],30.8 [22.2-39.4],5.3 [3.7-6.8],11.3 [7.8-14.7],20.0 [14.0-26.1],2.5 [1.6-3.3],10.3 [7.3-13.3],18.6 [13.3-24.0],2.0 [1.3-2.7],478
Mauritius,2005,24.1 [19.2-28.9],43.8 [35.0-52.6],4.3 [3.3-5.3],24.1 [19.2-28.9],43.8 [35.0-52.6],4.3 [3.3-5.3],21.7 [17.5-26.0],39.6 [31.9-47.3],3.8 [3.0-4.7],480
Mexico,2005,20.6 [17.3-23.9],30.7 [25.8-35.5],10.6 [8.8-12.4],20.6 [17.3-23.9],30.7 [25.8-35.5],10.6 [8.8-12.4],19.0 [15.5-22.4],28.2 [23.1-33.4],9.7 [7.9-11.4],484
Mongolia,2005,32.2 [25.1-39.3],56.1 [43.9-68.4],8.2 [6.3-10.1],30.0 [23.3-36.8],52.5 [40.7-64.3],7.6 [5.8-9.3],28.0 [21.6-34.4],49.0 [37.9-60.1],7.0 [5.3-8.7],496
Montenegro,2005,36.7 [22.1-51.4],38.0 [23.4-52.5],35.5 [20.7-50.3],36.7 [22.1-51.4],38.0 [23.4-52.5],35.5 [20.7-50.3],34.3 [19.6-49.0],36.3 [20.3-52.3],32.4 [19.0-45.7],499
Morocco,2005,18.3 [14.9-21.8],34.4 [28.2-40.5],2.2 [1.5-3.0],18.3 [14.9-21.8],34.4 [28.2-40.5],2.2 [1.5-3.0],15.1 [11.7-18.4],28.7 [22.7-34.7],1.4 [0.8-2.0],504
Myanmar,2005,60.5 [49.1-71.9],79.8 [64.2-95.5],41.2 [34.1-48.4],33.2 [25.7-40.8],53.0 [42.0-64.1],13.4 [9.4-17.5],24.2 [16.3-32.1],41.8 [29.1-54.6],6.5 [3.5-9.5],104
Namibia,2005,22.6 [18.1-27.1],31.0 [25.1-36.8],14.3 [11.0-17.5],18.9 [15.0-22.7],27.2 [21.7-32.6],10.5 [8.2-12.8],17.4 [13.7-21.1],27.2 [21.7-32.6],7.6 [5.7-9.5],516
Nauru,2005,59.6 [46.9-72.2],55.2 [43.6-66.9],63.9 [50.2-77.5],54.4 [40.7-68.1],51.1 [38.2-63.9],57.8 [43.2-72.4],43.5 [26.8-60.2],40.4 [25.3-55.5],46.6 [28.3-64.9],520
Nepal,2005,54.5 [45.1-63.8],67.5 [56.7-78.3],41.5 [33.6-49.4],33.7 [27.6-39.9],41.7 [34.2-49.1],25.8 [21.0-30.6],30.0 [23.8-36.2],37.4 [29.8-45.1],22.6 [17.9-27.3],524
